Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Right Wing;Right;Left;Spot Up;;Miss;Catch & Shoot;Tight;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;Left;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Left;Off the Dribble;Iso;1-2 Left/Right;Make ;Right to LeftPickup;Open;3;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;Right;Spot Up;Hop  ;Make ;Catch & Shoot;Open;3;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Tight;3;2024-2025
Right Wing;Left;Left;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;To Hoop;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Away From Hoop;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Right;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Left;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Away From Hoop;Right;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Left;From Hoop;Post Kick Out;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Off the Dribble;Iso;1-2 Left/Right;Miss;Right to LeftPickup;Tight;0;2024-2025
Left Corner;Away From Hoop;From Hoop;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Right;Off the Dribble;PnR;1-2 Left/Right;Miss;Right;Open;0;2024-2025
